,Title,Tatometer,Audience Score,MPAA,Genre,Director,Writer,Box Office
0,Black Panther,"
                    97%
                ","
                    79%
                ","PG-13 (for prolonged sequences of action violence, and a brief rude gesture)","
                            
                                Action & Adventure, 
                             
                                Drama, 
                             
                                Science Fiction & Fantasy
                             
                        ","
Ryan Coogler
","
Joe Robert Cole, 
                             
                                Ryan Coogler
","$501,105,037"
1,Avengers: Endgame,"
                    94%
                ","
                    90%
                ","PG-13 (for sequences of sci-fi violence and action, and some language)","
                            
                                Action & Adventure, 
                             
                                Drama, 
                             
                                Science Fiction & Fantasy
                             
                        ","
Joe Russo, 
                             
                                Anthony Russo
","
Christopher Markus, 
                             
                                Stephen McFeely
",
2,Us,"
                    93%
                ","
                    59%
                ","R (for violence/terror, and language)","
                            
                                Horror, 
                             
                                Mystery & Suspense
                             
                        ","
Jordan Peele
","
Jordan Peele
",
3,Toy Story 4,"
                    97%
                ","
                    94%
                ",G,"
                            
                                Animation, 
                             
                                Comedy, 
                             
                                Kids & Family, 
                             
                                Science Fiction & Fantasy
                             
                        ","
Josh Cooley
","
Andrew Stanton, 
                             
                                Stephany Folsom
",
4,Lady Bird,"
                    99%
                ","
                    79%
                ","R (for language, sexual content, brief graphic nudity and teen partying)","
                            
                                Comedy, 
                             
                                Drama
                             
                        ","
Greta Gerwig
","
Greta Gerwig
","$48,285,330"
5,Mission: Impossible - Fallout,"
                    97%
                ","
                    87%
                ","PG-13 (for violence and intense sequences of action, and for brief strong language)","
                            
                                Action & Adventure, 
                             
                                Drama, 
                             
                                Mystery & Suspense
                             
                        ","
Christopher McQuarrie
","
Christopher McQuarrie
",
6,The Wizard of Oz,"
                    98%
                ","
                    89%
                ",G (for some scary moments),"
                            
                                Classics, 
                             
                                Kids & Family, 
                             
                                Musical & Performing Arts, 
                             
                                Science Fiction & Fantasy
                             
                        ","
King Vidor, 
                             
                                Victor Fleming
","
Florence Ryerson, 
                             
                                Noel Langley, 
                             
                                Edgar Allan Woolf
","$3,840,702"
7,The Irishman,"
                    96%
                ","
                    86%
                ",R (for pervasive language and strong violence),"
                            
                                Drama, 
                             
                                Mystery & Suspense
                             
                        ","
Martin Scorsese
","
Steven Zaillian
",
8,"
                                Citizen Kane
                            ","
                    100%
                ","
                    90%
                ",PG,"
                            
                                Classics, 
                             
                                Drama, 
                             
                                Mystery & Suspense
                             
                        ","
Orson Welles
","
Herman J. Mankiewicz, 
                             
                                Orson Welles
",
9,BlacKkKlansman,"
                    96%
                ","
                    82%
                ","R (for language throughout, including racial epithets, and for disturbing/violent material and some sexual references)","
                            
                                Comedy, 
                             
                                Drama
                             
                        ","
Spike Lee
","
Charlie Wachtel, 
                             
                                David Rabinowitz, 
                             
                                Kevin Willmott, 
                             
                                Spike Lee
",
10,"
                                The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari)
                            ","
                    100%
                ","
                    89%
                ",NR,"
                            
                                Art House & International, 
                             
                                Classics, 
                             
                                Cult Movies, 
                             
                                Horror, 
                             
                                Mystery & Suspense
                             
                        ","
Robert Wiene
","
David Lee Fisher & Hans Janowitz, 
                             
                                Carl Mayer
",
11,Get Out,"
                    98%
                ","
                    86%
                ","R (for violence, bloody images, and language including sexual references)","
                            
                                Horror, 
                             
                                Mystery & Suspense
                             
                        ","
Jordan Peele
","
Jordan Peele
","$175,428,355"
