,Title,Tatometer,Audience Score,MPAA,Genre,Director,Writer,Box Office
0,AVENGERS: ENDGAME,94%,90%,"PG-13 (for sequences of sci-fi violence and action, and some language)","Action & Adventure, Drama, Science Fiction & Fantasy",Joe Russo,Christopher Markus,"$501,105,037"
1,US,93%,59%,"R (for violence/terror, and language)","Horror, Mystery & Suspense",Jordan Peele,Jordan Peele,"$501,105,037"
2,TOY STORY 4,97%,94%,G,"Animation, Comedy, Kids & Family, Science Fiction & Fantasy",Josh Cooley,Andrew Stanton,"$501,105,037"
3,MISSION: IMPOSSIBLE - FALLOUT,97%,87%,"PG-13 (for violence and intense sequences of action, and for brief strong language)","Action & Adventure, Drama, Mystery & Suspense",Christopher McQuarrie,Christopher McQuarrie,"$48,285,330"
4,THE IRISHMAN,96%,86%,R (for pervasive language and strong violence),"Drama, Mystery & Suspense",Martin Scorsese,Steven Zaillian,"$3,840,702"
5,CITIZEN KANE,100%,90%,PG,"Classics, Drama, Mystery & Suspense",Orson Welles,Herman J. Mankiewicz,"$3,840,702"
6,BLACKKKLANSMAN,96%,82%,"R (for language throughout, including racial epithets, and for disturbing/violent material and some sexual references)","Comedy, Drama",Spike Lee,Charlie Wachtel,"$3,840,702"
7,THE CABINET OF DR. CALIGARI (DAS CABINET DES DR. CALIGARI),100%,89%,NR,"Art House & International, Classics, Cult Movies, Horror, Mystery & Suspense",Robert Wiene,David Lee Fisher & Hans Janowitz,"$3,840,702"
8,SPIDER-MAN: INTO THE SPIDER-VERSE,97%,93%,"PG (for frenetic sequences of animated action violence, thematic elements, and mild language)","Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy",Bob Persichetti,Phil Lord,"$175,428,355"
9,"NOSFERATU, A SYMPHONY OF HORROR (NOSFERATU, EINE SYMPHONIE DES GRAUENS) (NOSFERATU THE VAMPIRE)",97%,87%,NR,"Art House & International, Classics, Horror, Science Fiction & Fantasy",F.W. Murnau,Henrik Galeen,"$129,483,877"
10,CASABLANCA,98%,95%,PG,"Classics, Drama, Romance",Michael Curtiz,Julius J. Epstein,"$129,483,877"
11,MODERN TIMES,100%,95%,G,"Classics, Comedy",Charles Chaplin,Charles Chaplin,"$27,850,910"
12,BOOKSMART,97%,77%,"R (for strong sexual content and language throughout, drug use and drinking - all involving teens)",Comedy,Olivia Wilde,Emily Halpern,"$27,850,910"
13,A STAR IS BORN,90%,79%,"R (for language throughout, some sexuality/nudity and substance abuse)",Drama,Bradley Cooper,Will Fetters,"$27,850,910"
14,THE FAREWELL,98%,87%,"PG (for thematic material, brief language and some smoking)","Comedy, Drama",Lulu Wang,Lulu Wang,"$27,850,910"
15,THE THIRD MAN,99%,93%,NR,"Classics, Mystery & Suspense",Carol Reed,Graham Greene,"$188,042,171"
16,IT HAPPENED ONE NIGHT,98%,93%,NR,"Classics, Comedy, Romance",Frank Capra,Robert Riskin,"$264,317,903"
17,EIGHTH GRADE,99%,83%,R (for language and some sexual material),Comedy,Bo Burnham,Bo Burnham,"$264,317,903"
18,ROMA,95%,72%,"R (for graphic nudity, some disturbing images, and language)",Drama,Alfonso Cuarón,Alfonso Cuarón,"$264,317,903"
